Login,Password,address1,address2,pass1
jojo,bean,First street,Liberty,Jojo Bean
Mark,Tven,Boom street,Akron,Mark Tven
Tony,Versety,Beach street,Vicecity,Tony Versety
Thomas,Shelbi,Opolo street,Boston,Thomas Shelbi
Oliver,Abramson,Fire street,Buffalo,Oliver Abramson
Jack,James,Frends street,Cary,Jack James
Harry,Bishop,Obama street,Concord,Harry Bishop
Jacob,Longman,Wall Street,Erie,JacobÿLongman
Charley,Mason,Liberty street,Frisco,CharleyÿMason
George,Miller,Lafayette Street,Gresham,GeorgeÿMiller
